仁愛區,忠懇,愛比蓋爾
中正區,厚道,愛得雷德
信義區,理智,阿吉
中山區,忠厚,愛歷克斯
安樂區,勤勞,愛麗斯
暖暖區,勇敢,愛美
七堵區,勤奮,安妮塔
中正區,勤儉,安納貝爾
大同區,幽默,安西婭
中山區,文雅,愛麗蓀
萬華區,禮貌,安吉莉嘉
信義區,斯文,愛娃
松山區,開朗,蓓莉
大安區,直率,比阿特麗斯
南港區,耿直,伯納黛特
北投區,溫柔,比德
內湖區,賢慧,布莉坦妮
士林區,自重自愛,卡彌拉
文山區,有思想,卡洛
板橋區,大膽的有冒險精神的,凱薩琳
新莊區,體貼的,塞西莉
中和區,精力充沛的,夏洛特
永和區,禮貌的,克洛伊
土城區,內向,克里斯蒂娜
樹林區,性情平和,克萊爾
三峽區,謙虛,康尼
鶯歌區,好學上進,凱蒂達
三重區,有見解,卡瑞莎
蘆洲區,辦事仔細的,可瑞納
五股區,建設性的,多蒂
泰山區,務實,唐
林口區,善良,黛博拉
淡水區,老實的,黛拉
金山區,沉靜,黛安娜
八里區,謙遜,戴娜
萬里區,勇挑重擔,桃樂絲
石門區,善解人意,艾娃
三芝區,正直無私的,愛琳
瑞芳區,好沉思的,愛莉諾拉
汐止區,充滿熱情的,愛拉
平溪區,恭順的,愛薾莎
貢寮區,性格溫和的,愛蜜莉
雙溪區,謹慎,愛塞爾
深坑區,好心腸,伊娃
石碇區,一本正經,尤勒莉亞
新店區,敏感,福斯太娜
坪林區,膽怯,費德莉亞
烏來區,專心致志,弗洛拉
桃園市,遲鈍,福來菲亞
中壢市,富於冒險,弗洛里
平鎮市,善於社交,弗朗基
八德市,體貼,喬治
楊梅市,生動,杰曼
大溪鎮,善於分析,吉爾
蘆竹鄉,平和,格拉迪斯
龍潭鄉,含蓄,葛瑞斯
龜山鄉,競爭性,格溫
大園鄉,積極,哈麗雅特
觀音鄉,受尊重,海倫
新屋鄉,強迫性,希爾達
復興鄉,推展者,海葛
東區,計畫者,艾維
北區,有趣,愛琳
香山區,忠誠,芝美瑪
竹北市,激勵性,珍
竹東鎮,生氣勃勃,賈妮絲
新埔鎮,果斷,珍恩
關西鎮,意志堅定,珍妮
新豐鄉,發起者,潔西
峨眉鄉,愉快,瓊
寶山鄉,外向,喬斯琳
五峰鄉,表情豐富,喬迪
橫山鄉,適應能力強,茱蒂
北埔鄉,樂觀,茱麗葉
尖石鄉,浮躁,凱瑟琳
芎林鄉,缺乏耐力,凱蒂
湖口鄉,興奮,金
宜蘭市,執著,基蒂
頭城鎮,衝動,莉拉
礁溪鄉,豁達,萊斯莉
壯圍鄉,善良堅強,莉莉
員山鄉,舍已為人,麗莎
羅東鎮,有能力才幹的,洛伊絲
五結鄉,寬厚(寬宏大量)的,路易莎
三星鄉,有合作精神的,露辛達
冬山鄉,負責的,林恩
大同鄉,有獨創精神的,露露
蘇澳鎮,穩健的,瑪奇
南澳鄉,廉潔,曼蒂
苗栗市,不怕艱險,瑪格麗特
通霄鎮,主動活躍的,瑪麗安
苑裡鎮,忠心耿耿的,瑪琳
西湖鄉,富創造力的,梅西德絲
頭屋鄉,守信的,瑪莎
公館鄉,客觀實際的,莫德
銅鑼鄉,孜孜不倦的,美格
三義鄉,嚴以律已寬已待人.,梅莉莎
竹南鎮,愛恨分明,米莉森特
頭份鎮,適應性強,米里亞姆
後龍鎮,能勝任的,莫尼卡
造橋鄉,有衝勁拼搏精神的,納汀
三灣鄉,忠誠的,南
南庄鄉,目的明確的,納塔莉
大湖鄉,大公無私,內莉
卓蘭鎮,靈巧機敏.有進取心,妮寇兒
獅潭鄉,有信心的,妮達
泰安鄉,有奉獻(或獻身)精神的,奧莉弗
中區,意志堅強的,潘蜜拉
東區,一絲不苟的,潘絲
南區,平易近人,派翠西亞
西區,有雄心壯志的,葆拉
北區,認真自覺的,佩姬
北屯區,可靠的,菲莉帕
西屯區,直率真誠的,波爾
南屯區,不屈不撓的,普魯
太平區,善交際,麗貝卡
大里區,高風亮節,羅伯塔
霧峰區,和藹可親的,羅莎琳德
烏日區,虛心,羅絲瑪麗
豐原區,老練的有策略的,羅莎
后里區,儉樸的,西維亞
潭子區,嚴守時刻的,莎莉
大雅區,耐性,桑德拉
神岡區,獨立,雪濃
石岡區,友善,雪莉
東勢區,令人高興,索尼亞
新社區,自立,索菲
和平區,深沉,蘇珊
大肚區,適應力強,蘇西
沙鹿區,音樂性,特里莎
龍井區,熱情,特薩
梧棲區,活潑,賽妮亞
清水區,反應敏捷,扥尼
大甲區,善組織,特魯迪
外埔區,率直,恩黛
大安區,易隨波逐流,費雯
彰化市,毅力,瓦萊利
員林鎮,精力充沛,維朗妮卡
和美鎮,健談,維奧拉
鹿港鎮,機敏,維維
溪湖鎮,好交際,威尼弗雷德
二林鎮,坐懷不亂,佐伊
田中鎮,光明正大的,愛達
北斗鎮,有志氣有抱負的,愛得乃納
花壇鄉,公正廉明,艾格妮斯
芬園鄉,善於分析表達的,亞歷山卓拉
大村鄉,開朗,艾莉森
永靖鄉,盡職的認真的,安琪拉
伸港鄉,目的明確的,安
線西鄉,可信賴的,安妮
福興鄉,虛懷若谷,安東尼婭
